EMG_time_ms,EMG_value,FORCE_time_ms,FORCE_newtons,Force_LPF,ENVELOPE_time_ms,EMG_Envelope
18.620690939357996,0.0,19.065,0.07783801612068286,0.07617009961768653,18.620690939357996,0.0
19.086208212841946,0.0,19.532,0.07783801612068286,0.07619219898178746,19.086208212841946,0.0
19.551725486325893,0.0,19.995,0.09526718041292903,0.07657583879307442,19.551725486325893,0.0
20.017242759809843,0.0,20.465,0.06694471539312108,0.07722164739104177,20.017242759809843,0.0
20.482760033293793,0.0,20.928,0.07783801612068286,0.0779997848492564,20.482760033293793,0.0
20.948277306777744,0.0,21.393,0.08001663730891106,0.07876502598852707,20.948277306777744,0.0
21.413794580261694,0.0,21.858,0.07130202269838448,0.07937261351968372,21.413794580261694,0.0
21.879311853745644,0.0,22.323,0.07130202269838448,0.0796941263376226,21.879311853745644,0.0
22.344829127229595,0.0,22.787,0.10180310890642041,0.07963236400264828,22.344829127229595,0.0
22.810346400713545,0.0,23.253,0.09090987310766574,0.07913370489930424,22.810346400713545,0.0
23.275863674197492,0.0,23.718,0.06912340151015628,0.07819607583412039,23.275863674197492,0.0
23.741380947681442,0.0,24.184,0.0625874730166649,0.07687112899605554,23.741380947681442,0.0
24.206898221165392,0.0,24.651,0.08001663730891106,0.07526035834715038,24.206898221165392,0.0
24.672415494649343,0.0,25.11,0.09308855922470083,0.07350578448848247,24.672415494649343,0.0
25.137932768133293,0.0,25.58,0.07565933000364766,0.07177589942694805,25.137932768133293,0.0
25.603450041617243,0.0,26.043,0.058230165711401494,0.07024739104241025,25.603450041617243,0.0
26.068967315101194,0.0,26.51,0.09308855922470083,0.06908368402525134,26.068967315101194,0.0
26.53448458858514,0.0,26.972,0.06694471539312108,0.06841255446885164,26.53448458858514,0.0
27.00000186206909,0.0,27.439,0.014657157587575798,0.06830635843069563,27.00000186206909,0.0
27.46551913555304,0.0,27.904,0.04951555110087491,0.06876920012730069,27.46551913555304,0.0
27.93103640903699,0.0,28.369,0.07565933000364766,0.06973492051953034,27.93103640903699,0.0
28.396553682520942,0.0,28.836,0.08873125191943754,0.07107732000977952,28.396553682520942,0.0
28.862070956004892,0.0,29.295,0.1061604162116837,0.07263012183648816,28.862070956004892,0.0
29.327588229488843,0.0,29.761,0.09090987310766574,0.07421114905171254,29.327588229488843,0.0
29.793105502972793,0.0,30.227,0.03862231530212035,0.07564506144737419,29.793105502972793,0.0
30.25862277645674,0.0,30.696,0.056051479594366516,0.07678156695962812,30.25862277645674,0.0
30.72414004994069,0.0,31.161,0.10398179502345561,0.07750900776357668,30.72414004994069,0.0
31.18965732342464,0.0,31.621,0.08873125191943754,0.07776433424266317,31.18965732342464,0.0
31.65517459690859,0.0,32.091,0.07565933000364766,0.0775395957242093,31.65517459690859,0.0
32.12069187039254,0.0,32.554,0.05169417228910311,0.0768840778195852,32.12069187039254,0.0
32.58620914387649,0.0,33.016,0.08655256580240245,0.07590140526573522,32.58620914387649,0.0
33.05172641736044,0.0,33.484,0.09308855922470083,0.07474159726442542,33.05172641736044,0.0
33.51724369084439,0.0,33.948,0.07565933000364766,0.07358811839788211,33.51724369084439,0.0
33.98276096432834,0.0,34.414,0.09526718041292903,0.07263975199393198,33.98276096432834,0.0
34.44827823781229,0.0,34.876,0.058230165711401494,0.07208775757993584,34.44827823781229,0.0
34.91379551129624,0.0,35.342,0.058230165711401494,0.07209053061402367,34.91379551129624,0.0
35.37931278478019,0.0,35.807,0.033273092912706526,0.07274993463784728,35.37931278478019,0.0
35.84483005826414,0.0,36.272,0.08873125191943754,0.0740942665023692,35.84483005826414,0.0
36.31034733174809,0.0,36.736,0.07783801612068286,0.0760715927668221,36.31034733174809,0.0
36.77586460523204,0.0,37.202,0.07783801612068286,0.07855439339300936,36.77586460523204,0.0
37.24138187871599,0.0,37.669,0.10398179502345561,0.08135365349527206,37.24138187871599,0.0
37.70689915219994,0.0,38.135,0.07783801612068286,0.08423916605205034,37.70689915219994,0.0
38.17241642568389,0.0,38.595,0.060408786899629696,0.08696303236805777,38.17241642568389,0.0
38.63793369916784,0.0,39.065,0.08873125191943754,0.0892843288088687,38.63793369916784,0.0
39.103450972651785,0.0,39.528,0.12141095931570178,0.09099349013953832,39.103450972651785,0.0
39.56896824613574,0.0,39.99,0.09308855922470083,0.09193453906983762,39.56896824613574,0.0
40.034485519619686,0.0,40.458,0.08001663730891106,0.09202253890214286,40.034485519619686,0.0
40.50000279310364,0.0,40.92,0.07565933000364766,0.09125374335732417,40.50000279310364,0.0
40.96552006658759,0.0,41.386,0.16934127474479088,0.08970690486225107,40.96552006658759,0.0
