guid,time,value
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.033982759,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.034448276,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.034913793,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.03537931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.035844828,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.036310345,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.036775862,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.037241379,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.037706897,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.038172414,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.038637931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.039103448,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.039568966,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.040034483,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.0405,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.040965517,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.041431034,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.041896552,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.042362069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.042827586,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.043293103,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.043758621,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.044224138,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.044689655,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.045155172,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.04562069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.046086207,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.046551724,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.047017241,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.047482759,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.047948276,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.048413793,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.04887931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.049344828,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.049810345,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.050275862,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.050741379,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.051206897,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.051672414,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.052137931,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.052603448,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.053068966,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.053534483,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.054,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.054465517,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.054931034,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.055396552,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.055862069,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.056327586,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.056793103,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.057258621,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.057724138,0.0
af7e1f1a-a617-467d-b735-38a2a9b64aa0,0.058189655,0.0
