EMG_time_ms,EMG_value,FORCE_time_ms,FORCE_newtons
0.0,0.0,0.466,0.0024376583200651503
0.4655172734839499,0.0,0.932,0.014991505972181018
0.9310345469678998,0.0,1.399,0.004616344437100239
1.3965518204518497,0.0,1.864,0.05254659493738245
1.8620690939357996,0.0,2.325,0.0024376583200651503
2.3275863674197494,0.0,2.794,0.004616344437100239
2.7931036409036993,0.0,3.258,0.008455577478689524
3.2586209143876492,0.0,3.72,0.0024376583200651503
3.724138187871599,0.0,4.188,0.019866887541118317
4.189655461355549,0.0,4.651,0.004616344437100239
4.655172734839499,0.0,5.116,0.014991505972181018
5.120690008323448,0.0,5.58,0.004098270173426344
5.586207281807399,0.0,6.046,0.012812884783952816
6.051724555291348,0.0,6.513,0.0024376583200651503
6.5172418287752985,0.0,6.979,0.02588480669974269
6.982759102259248,0.0,7.443,0.032420735193234074
7.448276375743198,0.0,7.909,0.017170192089216108
7.913793649227148,0.0,8.37,0.004098270173426344
8.379310922711097,0.0,8.84,0.006276956290461433
8.844828196195047,0.0,9.303,0.0024376583200651503
9.310345469678998,0.0,9.765,0.017688201424083116
9.775862743162946,0.0,10.233,0.0024376583200651503
10.241380016646897,0.0,10.695,0.014991505972181018
10.706897290130847,0.0,11.161,0.01934881327744431
11.172414563614797,0.0,11.631,0.00025903713183694776
11.637931837098746,0.0,12.089,0.019866887541118317
12.103449110582696,0.0,12.554,0.08688697911581467
12.568966384066647,0.0,13.02,0.004616344437100239
13.034483657550597,0.0,13.484,0.004616344437100239
13.500000931034545,0.0,13.949,0.032420735193234074
13.965518204518496,0.0,14.414,0.006276956290461433
14.431035478002446,0.0,14.88,0.022045508729346408
14.896552751486396,0.0,15.347,0.0237061205827076
15.362070024970345,0.0,15.809,0.004098270173426344
15.827587298454295,0.0,16.28,0.017688201424083116
16.293104571938244,0.0,16.742,0.04113534980376066
16.758621845422194,0.0,17.21,0.011152272930591733
17.224139118906145,0.0,17.673,0.022045508729346408
17.689656392390095,0.0,18.138,0.006794965625328442
